ID,SurfaceR,NumberR,TypeR,VegetationR,Surroundings1,Surroundings2,Surroundings3,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt,number_frogs
2,700,1,d,1,h,e,h,3,1,75,1,1,0,natural,0,1,1,0,0,1,0,three
3,200,1,d,1,h,e,h,3,4,75,1,1,0,natural,0,1,1,0,0,1,0,three
4,300,1,d,0,e,h,b,3,4,25,0,0,0,natural,0,0,1,0,0,0,0,one
5,600,2,a,4,h,b,e,0,0,99,0,5,0,natural,0,1,1,1,0,1,1,five
6,200,1,d,1,e,e,h,1,0,50,0,0,0,natural,0,0,0,0,0,0,0,zero
7,500,1,d,0,e,e,h,1,2,25,0,0,0,concrete,0,0,1,0,0,0,0,one
8,700,1,d,2,h,e,g,0,0,100,1,1,0,natural,1,1,0,1,0,0,0,three
9,750,2,d,1,e,a,b,0,1,50,1,0,0,natural,0,1,1,0,0,0,0,two
10,200,1,h,4,b,f,e,0,0,75,1,0,0,natural,0,1,1,0,0,0,0,two
11,200,1,a,4,b,f,a,0,0,100,2,1,0,natural,1,0,0,0,0,0,0,one
12,300,1,i,2,a,b,f,0,0,100,2,1,0,natural,0,1,1,0,0,0,0,two
13,7000,1,a,1,b,e,h,3,3,50,1,5,0,natural,1,0,1,0,0,0,0,two
14,1700,1,a,1,b,e,h,0,1,100,2,2,2,natural,1,1,1,0,0,0,0,three
15,8000,1,a,3,b,h,f,0,0,100,9,9,0,natural,0,1,1,0,0,0,0,two
16,30000,1,a,3,a,a,a,0,0,100,2,10,0,natural,1,1,1,1,1,0,0,five
17,300,1,h,4,a,a,a,0,0,100,5,10,0,natural,0,1,1,0,1,0,0,three
18,300,1,j,1,a,a,g,0,0,75,0,5,0,natural,0,1,1,0,0,0,0,two
19,1600,3,a,0,b,e,b,3,1,75,2,1,0,natural,1,1,1,1,0,0,0,four
20,3800,6,a,2,e,e,b,3,1,25,0,0,0,natural,1,0,1,0,1,0,0,three
21,7000,6,a,1,e,h,b,3,4,50,0,0,0,natural,1,0,1,0,0,0,0,two
22,2500,1,a,3,h,b,e,0,1,100,0,1,0,natural,1,0,1,0,0,1,0,three
23,800,1,a,0,a,b,f,3,4,100,2,1,0,natural,0,1,1,0,0,0,0,two
24,1700,1,a,3,h,e,b,0,0,100,0,0,0,natural,0,1,1,0,0,0,0,two
25,300,1,a,2,f,b,h,0,0,100,5,5,2,natural,1,0,0,0,0,1,0,two
26,4500,1,a,1,b,b,g,3,2,100,9,9,0,natural,1,1,1,0,1,0,0,four
27,1000,1,h,4,b,b,a,0,0,100,5,9,0,natural,0,1,0,0,0,0,0,one
28,7000,1,a,4,b,b,a,0,0,100,5,5,0,natural,0,0,0,1,1,0,1,three
29,30000,1,a,3,b,b,a,1,0,100,5,5,0,natural,1,1,1,0,0,1,1,five
31,3300,1,a,3,b,a,f,0,0,100,5,5,0,natural,0,1,0,0,1,0,0,two
32,2100,1,a,3,b,g,b,0,0,50,0,1,0,natural,0,0,0,0,1,0,0,one
33,500,1,a,0,b,h,e,3,4,100,2,1,0,natural,1,1,0,0,0,0,0,two
35,300,1,a,1,b,h,h,0,0,100,2,2,0,natural,0,1,1,0,0,0,0,two
36,1100,1,a,0,b,e,h,3,4,100,2,2,0,natural,0,1,1,0,0,0,0,two
37,1000,1,a,2,b,h,e,0,0,100,1,1,0,natural,0,0,0,1,0,0,0,one
38,400,1,d,1,e,b,h,1,0,75,2,0,0,natural,0,0,1,0,1,0,1,three
39,100,1,a,2,b,e,h,0,0,100,1,1,0,natural,0,1,0,0,0,0,0,one
40,100,1,d,1,f,b,e,3,0,100,2,1,0,natural,1,0,0,0,0,0,0,one
43,100,1,g,4,b,e,f,0,0,100,5,5,0,natural,0,0,1,0,1,0,0,two
44,2500,1,a,3,f,b,g,0,0,75,0,2,0,natural,0,1,0,0,0,0,0,one
45,31000,6,a,0,b,f,e,3,4,100,5,5,0,natural,1,1,1,0,0,0,0,three
46,500,1,h,4,b,f,b,0,0,100,5,5,0,natural,1,1,1,1,1,0,0,five
47,25000,5,a,0,b,g,f,3,4,75,0,0,0,natural,1,0,0,1,0,0,0,two
48,40000,1,a,1,b,b,e,3,2,100,5,0,0,natural,1,1,0,1,0,1,0,four
49,1900,7,h,4,b,e,f,0,0,100,5,5,0,natural,1,1,0,0,1,1,0,four
50,30,1,a,2,b,f,e,0,0,75,0,1,0,natural,0,1,1,0,0,1,0,three
51,4300,1,a,3,a,b,b,0,0,100,5,5,0,natural,1,1,1,0,1,0,1,five
52,4000,1,a,3,a,a,b,0,0,100,5,5,0,natural,1,1,1,0,0,0,0,three
53,300,1,a,4,a,b,e,0,0,99,2,2,0,natural,0,1,0,0,0,0,0,one
54,400,1,a,2,a,f,e,0,0,100,0,1,0,natural,0,1,0,0,0,1,0,two
55,1000,1,a,1,b,b,a,0,0,100,5,5,0,natural,1,1,1,1,1,1,0,six
56,1500,2,b,2,f,b,e,1,2,100,5,0,0,natural,0,1,1,0,0,0,0,two
57,300,1,i,3,f,b,a,0,0,100,5,5,0,natural,1,1,1,0,1,1,0,five
59,28300,4,a,1,b,f,e,3,2,100,0,0,0,natural,1,1,1,1,0,0,0,four
60,1000,1,a,0,a,e,f,3,3,75,0,0,0,natural,1,0,1,0,0,0,0,two
61,50,1,a,2,b,f,h,0,0,100,5,5,0,natural,1,1,1,1,0,0,0,four
62,9000,2,b,0,h,a,f,1,2,100,1,1,0,natural,1,0,1,0,0,0,0,two
64,100,1,a,4,b,g,a,0,0,100,1,2,0,natural,1,0,1,0,0,0,0,two
65,3500,1,b,0,e,g,b,0,0,50,0,0,0,natural,1,1,1,0,0,0,0,three
66,300,1,h,3,f,b,a,0,0,100,5,5,0,natural,1,1,0,0,0,0,0,two
67,100,1,h,4,f,b,a,0,0,100,5,5,0,natural,0,1,0,0,0,0,0,one
68,200,1,h,4,f,b,e,0,0,100,0,0,0,natural,0,1,0,0,0,0,0,one
70,300,1,g,3,f,a,a,0,0,100,10,10,0,natural,1,1,1,0,1,0,0,four
71,300,1,g,3,a,b,h,0,0,100,10,10,0,natural,1,1,0,1,0,0,0,three
72,300,1,i,3,f,b,a,0,0,100,5,5,0,natural,1,1,1,0,0,0,0,three
73,1000,1,a,2,b,f,g,0,0,75,0,0,0,natural,0,0,1,0,0,0,0,one
75,100,1,g,4,a,h,b,0,0,100,10,10,0,natural,1,1,1,0,1,0,0,four
78,500,2,a,0,b,g,a,3,3,100,1,2,0,natural,0,0,1,0,0,0,0,one
79,1000,1,a,3,b,a,g,0,0,100,2,5,0,natural,0,0,0,0,1,0,0,one
80,500,1,h,4,f,a,a,0,0,100,10,10,0,natural,1,0,1,0,0,1,0,three
81,600,2,a,1,a,h,e,3,1,100,1,0,0,natural,1,1,1,0,1,1,1,six
82,1300,1,a,0,a,h,e,3,1,100,1,1,0,natural,0,1,1,0,0,0,0,two
84,300,1,j,2,b,i,e,0,0,100,2,5,0,natural,0,1,1,0,1,0,0,three
85,10050,1,a,2,a,h,e,0,1,100,5,5,0,natural,0,1,1,1,0,1,1,five
86,9000,3,a,2,h,h,h,0,1,100,9,9,0,natural,1,1,1,0,1,0,0,four
87,300,1,j,3,h,h,h,0,0,100,9,9,0,natural,0,1,1,0,1,0,0,three
88,300,1,i,1,b,h,h,0,0,100,5,5,0,natural,0,1,1,0,1,0,0,three
89,3500,1,a,2,f,e,a,0,0,100,2,2,0,natural,1,1,1,1,0,1,0,five
90,300,1,j,0,b,g,f,0,0,100,1,1,0,natural,1,0,0,0,0,0,0,one
91,16000,4,a,2,f,g,b,0,2,100,1,5,0,natural,1,1,1,1,0,1,0,five
93,3500,1,a,3,f,a,b,0,0,100,2,2,0,natural,1,1,1,0,0,1,0,four
94,300,1,j,1,a,f,b,0,0,100,5,5,0,natural,1,1,0,1,0,1,0,four
96,10000,1,a,3,a,h,e,0,1,100,5,5,0,natural,1,1,1,1,1,1,1,seven
97,10000,4,a,0,h,b,e,0,1,75,0,0,0,natural,0,1,1,0,1,0,0,three
98,29000,3,a,2,h,e,a,3,3,100,2,0,0,natural,1,1,1,1,1,1,1,seven
99,8250,1,a,3,e,b,h,0,0,100,1,2,0,natural,1,1,1,1,1,1,1,seven
100,250,1,e,1,a,h,e,0,0,100,2,5,0,natural,1,1,1,1,1,1,1,seven
102,300,1,j,1,b,f,b,0,0,100,1,1,0,natural,0,1,1,0,0,0,0,two
106,450,1,a,1,e,h,h,0,1,25,1,1,0,natural,1,1,1,0,1,1,0,five
107,300,1,j,0,a,h,e,0,0,100,0,1,0,natural,0,1,0,0,0,0,0,one
108,50,1,a,1,e,h,h,0,0,50,0,0,0,natural,0,1,1,0,1,0,0,three
109,50,1,a,2,h,h,e,0,0,100,9,5,0,natural,1,1,0,0,0,0,0,two
110,8300,2,a,2,a,h,e,3,3,100,2,2,0,natural,1,1,1,0,1,0,0,four
111,1800,1,a,0,h,a,e,3,2,100,1,2,0,natural,1,1,1,1,1,1,1,seven
112,150,2,a,1,a,h,e,0,1,100,0,1,0,natural,1,1,1,1,1,1,1,seven
113,500,1,a,3,h,a,e,0,0,75,0,1,0,natural,1,1,1,1,1,1,0,six
114,900,1,a,1,a,h,e,3,2,100,2,2,0,natural,1,1,1,1,1,1,0,six
115,300,1,j,1,h,a,e,0,0,100,1,1,0,natural,0,1,1,0,0,0,0,two
116,300,1,j,1,h,a,e,0,0,100,1,1,0,natural,0,1,1,0,0,0,0,two
117,300,1,j,1,a,h,e,1,0,100,1,1,0,natural,0,1,0,0,0,0,0,one
118,3000,1,a,3,b,h,e,0,1,100,5,5,0,natural,1,1,1,0,0,1,0,four
119,450,1,a,1,h,h,h,3,3,100,5,2,0,natural,1,1,0,1,0,1,0,four
120,300,1,j,1,a,h,e,0,0,100,5,5,0,natural,1,0,0,1,0,0,0,two
121,200,1,d,2,h,e,a,3,0,100,1,1,0,natural,1,1,1,0,0,0,0,three
122,700,1,a,0,h,e,f,3,2,100,1,1,0,natural,1,1,1,0,1,1,1,six
123,300,1,i,1,h,e,b,0,0,100,1,1,0,natural,0,1,0,0,0,0,0,one
124,300,1,h,2,h,h,b,0,0,50,2,5,0,natural,0,1,0,0,0,0,0,one
125,300,1,j,1,h,h,e,0,0,100,0,2,0,natural,0,0,0,0,0,0,0,zero
126,300,1,j,1,a,f,e,0,0,100,1,1,0,natural,0,0,0,0,1,0,0,one
127,200,1,a,1,e,h,a,0,0,100,1,1,0,natural,1,1,1,1,1,1,1,seven
128,350,1,a,2,h,a,e,0,0,100,1,1,0,natural,1,1,1,1,1,1,0,six
129,300,1,j,1,a,a,a,0,0,100,5,5,0,natural,0,0,0,0,0,0,0,zero
130,1000,1,h,1,a,a,h,0,0,100,2,9,0,natural,0,1,0,0,0,0,0,one
131,100,1,a,1,a,f,h,0,0,100,9,9,0,natural,0,1,1,1,0,0,0,three
132,300,1,j,1,a,f,a,0,0,100,2,5,0,natural,0,0,0,0,0,0,0,zero
133,6300,3,a,0,f,a,d,0,0,100,2,1,0,natural,1,1,1,0,0,0,0,three
134,3400,2,b,0,e,f,h,0,0,75,1,1,0,natural,1,0,0,0,0,1,0,two
135,2400,2,a,0,b,e,h,3,4,75,1,1,0,natural,1,0,0,0,0,0,0,one
137,40000,4,a,1,h,f,e,3,4,100,1,1,0,natural,1,1,1,1,1,0,0,five
138,300,1,a,0,e,g,b,3,3,50,0,0,0,natural,1,1,1,0,1,0,0,four
139,1500,1,a,0,g,e,e,3,0,25,0,0,0,natural,1,0,0,0,0,0,0,one
140,4000,2,a,0,a,h,e,3,4,100,2,1,0,natural,1,1,0,0,0,0,0,two
142,4100,5,a,1,a,h,b,3,3,100,0,1,0,natural,1,1,1,0,1,0,0,four
143,2300,1,a,1,b,e,h,1,3,100,0,0,0,natural,1,1,1,1,1,1,0,six
144,1500,3,a,1,b,a,h,3,3,100,2,2,0,natural,1,1,1,1,1,1,0,six
145,300,1,a,3,b,a,e,0,0,100,2,1,0,natural,1,1,0,0,0,0,0,two
146,15000,2,a,2,b,a,h,3,3,100,0,1,0,natural,1,1,1,0,0,1,0,four
147,1700,1,a,3,g,e,b,0,0,25,0,0,0,natural,1,1,1,0,1,1,0,five
148,2500,2,a,3,b,e,h,0,0,75,0,0,0,natural,1,1,1,1,0,1,0,five
149,2400,1,a,2,b,h,a,0,1,100,1,1,0,natural,1,1,1,0,1,1,0,five
150,300,1,h,3,b,h,a,0,0,100,1,1,0,natural,1,1,1,1,1,0,0,five
151,2600,2,a,2,g,b,e,3,2,50,0,1,0,natural,1,1,1,0,0,0,0,three
152,600,1,a,4,g,b,h,0,0,50,0,0,0,natural,0,1,0,1,0,0,0,two
153,2000,1,a,3,g,b,e,0,0,50,0,0,0,natural,1,1,1,0,0,0,0,three
154,26000,3,a,1,a,b,h,3,4,100,1,2,0,natural,1,1,1,1,1,1,0,six
155,350,1,a,0,b,a,h,3,3,100,1,1,0,natural,1,1,1,1,1,1,0,six
156,200,1,a,3,b,e,d,0,0,50,1,1,1,concrete,1,1,1,0,0,0,0,three
157,2300,1,a,2,a,a,e,0,0,100,2,1,0,natural,1,1,1,0,1,1,0,five
158,300,1,j,1,a,a,e,0,0,100,1,1,2,natural,0,1,0,0,0,0,0,one
159,600,1,d,2,e,e,h,3,2,100,2,2,0,natural,1,1,1,1,1,1,0,six
160,300,1,h,3,a,b,h,0,0,100,1,2,0,natural,0,1,0,0,0,0,0,one
161,1400,1,a,1,a,b,h,0,0,100,5,5,0,natural,1,1,1,1,1,1,0,six
162,3000,1,a,3,b,h,a,0,0,100,5,2,0,natural,1,1,1,1,1,1,0,six
163,300,1,j,1,a,a,h,0,0,100,5,5,0,natural,0,1,0,0,0,0,0,one
164,2300,1,a,1,b,e,h,3,3,50,1,0,0,natural,1,1,1,0,1,0,0,four
165,2600,1,a,2,b,h,e,0,0,50,0,0,0,natural,1,1,1,0,1,0,0,four
166,300,1,i,1,b,f,h,0,0,100,2,0,0,natural,0,1,1,1,0,0,0,three
167,300,1,a,3,e,b,g,0,0,25,0,0,0,natural,1,1,1,1,1,0,0,five
168,22000,1,a,4,e,g,e,0,0,100,0,0,0,natural,1,1,1,1,1,0,0,five
169,300,1,h,3,h,b,a,0,0,100,2,0,0,natural,0,1,0,0,0,0,0,one
170,300,1,h,4,a,h,b,0,0,100,5,5,0,natural,0,1,0,0,0,0,0,one
171,1000,2,a,3,b,e,a,0,0,100,0,1,0,natural,1,1,1,1,1,1,1,seven
172,300,1,j,1,a,a,g,0,0,100,0,1,0,natural,0,1,0,0,0,0,0,one
173,300,1,j,1,a,a,h,0,0,100,9,5,0,natural,0,1,0,0,0,0,0,one
174,1100,2,a,3,b,e,e,0,0,100,0,0,0,natural,0,1,1,1,1,1,1,six
176,1000,1,a,4,b,a,e,0,0,100,1,1,0,natural,1,0,0,0,1,0,0,two
177,300,1,i,2,b,g,f,0,0,75,0,2,0,natural,0,1,0,0,0,0,0,one
178,1000,1,i,2,f,a,g,0,0,75,1,2,0,natural,0,1,0,0,0,0,0,one
179,1100,1,d,0,b,a,h,3,3,100,5,1,0,concrete,0,0,0,0,0,0,0,zero
180,2500,1,a,4,b,e,f,0,0,100,5,1,0,natural,1,1,1,0,1,1,0,five
181,4000,2,a,1,c,e,g,3,2,80,1,1,0,natural,1,1,1,0,1,1,1,six
182,200,1,h,3,h,a,e,0,0,100,1,2,0,natural,0,1,1,0,0,0,0,two
183,350,1,a,0,b,e,h,1,3,100,1,1,0,natural,1,1,1,0,0,0,0,three
184,4000,1,h,4,b,e,h,0,0,100,1,1,0,natural,0,1,1,0,0,0,0,two
186,300,1,i,2,f,h,b,0,0,100,5,5,0,natural,1,1,1,1,0,1,0,five
187,500,1,a,4,a,h,b,0,0,100,5,5,0,natural,1,1,1,1,0,1,0,five
189,300,1,h,3,b,e,h,0,0,100,1,1,0,natural,0,1,1,0,0,0,0,two
