SurfaceR,TypeR,VegetationR,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs
700,d,1,3,1,75,1,1,0,natural,0,1
200,d,1,3,4,75,1,1,0,natural,0,1
300,d,0,3,4,25,0,0,0,natural,0,0
600,a,4,0,0,99,0,5,0,natural,0,1
200,d,1,1,0,50,0,0,0,natural,0,0
500,d,0,1,2,25,0,0,0,concrete,0,0
700,d,2,0,0,100,1,1,0,natural,1,1
750,d,1,0,1,50,1,0,0,natural,0,1
200,h,4,0,0,75,1,0,0,natural,0,1
200,a,4,0,0,100,2,1,0,natural,1,0
300,i,2,0,0,100,2,1,0,natural,0,1
7000,a,1,3,3,50,1,5,0,natural,1,0
1700,a,1,0,1,100,2,2,2,natural,1,1
8000,a,3,0,0,100,9,9,0,natural,0,1
30000,a,3,0,0,100,2,10,0,natural,1,1
300,h,4,0,0,100,5,10,0,natural,0,1
300,j,1,0,0,75,0,5,0,natural,0,1
1600,a,0,3,1,75,2,1,0,natural,1,1
3800,a,2,3,1,25,0,0,0,natural,1,0
7000,a,1,3,4,50,0,0,0,natural,1,0
2500,a,3,0,1,100,0,1,0,natural,1,0
800,a,0,3,4,100,2,1,0,natural,0,1
1700,a,3,0,0,100,0,0,0,natural,0,1
300,a,2,0,0,100,5,5,2,natural,1,0
4500,a,1,3,2,100,9,9,0,natural,1,1
1000,h,4,0,0,100,5,9,0,natural,0,1
7000,a,4,0,0,100,5,5,0,natural,0,0
30000,a,3,1,0,100,5,5,0,natural,1,1
3300,a,3,0,0,100,5,5,0,natural,0,1
2100,a,3,0,0,50,0,1,0,natural,0,0
500,a,0,3,4,100,2,1,0,natural,1,1
300,a,1,0,0,100,2,2,0,natural,0,1
1100,a,0,3,4,100,2,2,0,natural,0,1
1000,a,2,0,0,100,1,1,0,natural,0,0
400,d,1,1,0,75,2,0,0,natural,0,0
100,a,2,0,0,100,1,1,0,natural,0,1
100,d,1,3,0,100,2,1,0,natural,1,0
80000,h,4,0,0,100,5,5,0,natural,1,0
100,g,4,0,0,100,5,5,0,natural,0,0
2500,a,3,0,0,75,0,2,0,natural,0,1
31000,a,0,3,4,100,5,5,0,natural,1,1
500,h,4,0,0,100,5,5,0,natural,1,1
25000,a,0,3,4,75,0,0,0,natural,1,0
40000,a,1,3,2,100,5,0,0,natural,1,1
1900,h,4,0,0,100,5,5,0,natural,1,1
30,a,2,0,0,75,0,1,0,natural,0,1
4300,a,3,0,0,100,5,5,0,natural,1,1
4000,a,3,0,0,100,5,5,0,natural,1,1
300,a,4,0,0,99,2,2,0,natural,0,1
400,a,2,0,0,100,0,1,0,natural,0,1
1000,a,1,0,0,100,5,5,0,natural,1,1
1500,b,2,1,2,100,5,0,0,natural,0,1
300,i,3,0,0,100,5,5,0,natural,1,1
28300,a,1,3,2,100,0,0,0,natural,1,1
1000,a,0,3,3,75,0,0,0,natural,1,0
50,a,2,0,0,100,5,5,0,natural,1,1
9000,b,0,1,2,100,1,1,0,natural,1,0
100,a,4,0,0,100,1,2,0,natural,1,0
3500,b,0,0,0,50,0,0,0,natural,1,1
300,h,3,0,0,100,5,5,0,natural,1,1
100,h,4,0,0,100,5,5,0,natural,0,1
200,h,4,0,0,100,0,0,0,natural,0,1
300,g,3,0,0,100,10,10,0,natural,1,1
300,g,3,0,0,100,10,10,0,natural,1,1
300,i,3,0,0,100,5,5,0,natural,1,1
1000,a,2,0,0,75,0,0,0,natural,0,0
100,g,4,0,0,100,10,10,0,natural,1,1
500,a,0,3,3,100,1,2,0,natural,0,0
1000,a,3,0,0,100,2,5,0,natural,0,0
500,h,4,0,0,100,10,10,0,natural,1,0
600,a,1,3,1,100,1,0,0,natural,1,1
1300,a,0,3,1,100,1,1,0,natural,0,1
300,j,2,0,0,100,2,5,0,natural,0,1
10050,a,2,0,1,100,5,5,0,natural,0,1
9000,a,2,0,1,100,9,9,0,natural,1,1
300,j,3,0,0,100,9,9,0,natural,0,1
300,i,1,0,0,100,5,5,0,natural,0,1
3500,a,2,0,0,100,2,2,0,natural,1,1
300,j,0,0,0,100,1,1,0,natural,1,0
16000,a,2,0,2,100,1,5,0,natural,1,1
3500,a,3,0,0,100,2,2,0,natural,1,1
300,j,1,0,0,100,5,5,0,natural,1,1
10000,a,3,0,1,100,5,5,0,natural,1,1
10000,a,0,0,1,75,0,0,0,natural,0,1
29000,a,2,3,3,100,2,0,0,natural,1,1
8250,a,3,0,0,100,1,2,0,natural,1,1
250,e,1,0,0,100,2,5,0,natural,1,1
80000,a,1,3,4,100,2,2,0,natural,1,1
300,j,1,0,0,100,1,1,0,natural,0,1
500000,a,3,3,3,75,1,1,0,natural,1,1
450,a,1,0,1,25,1,1,0,natural,1,1
300,j,0,0,0,100,0,1,0,natural,0,1
50,a,1,0,0,50,0,0,0,natural,0,1
50,a,2,0,0,100,9,5,0,natural,1,1
8300,a,2,3,3,100,2,2,0,natural,1,1
1800,a,0,3,2,100,1,2,0,natural,1,1
150,a,1,0,1,100,0,1,0,natural,1,1
500,a,3,0,0,75,0,1,0,natural,1,1
900,a,1,3,2,100,2,2,0,natural,1,1
300,j,1,0,0,100,1,1,0,natural,0,1
300,j,1,0,0,100,1,1,0,natural,0,1
300,j,1,1,0,100,1,1,0,natural,0,1
3000,a,3,0,1,100,5,5,0,natural,1,1
450,a,1,3,3,100,5,2,0,natural,1,1
300,j,1,0,0,100,5,5,0,natural,1,0
200,d,2,3,0,100,1,1,0,natural,1,1
700,a,0,3,2,100,1,1,0,natural,1,1
300,i,1,0,0,100,1,1,0,natural,0,1
300,h,2,0,0,50,2,5,0,natural,0,1
300,j,1,0,0,100,0,2,0,natural,0,0
300,j,1,0,0,100,1,1,0,natural,0,0
200,a,1,0,0,100,1,1,0,natural,1,1
350,a,2,0,0,100,1,1,0,natural,1,1
300,j,1,0,0,100,5,5,0,natural,0,0
1000,h,1,0,0,100,2,9,0,natural,0,1
100,a,1,0,0,100,9,9,0,natural,0,1
300,j,1,0,0,100,2,5,0,natural,0,0
6300,a,0,0,0,100,2,1,0,natural,1,1
3400,b,0,0,0,75,1,1,0,natural,1,0
2400,a,0,3,4,75,1,1,0,natural,1,0
115000,a,0,3,4,100,0,1,0,natural,1,1
40000,a,1,3,4,100,1,1,0,natural,1,1
300,a,0,3,3,50,0,0,0,natural,1,1
1500,a,0,3,0,25,0,0,0,natural,1,0
4000,a,0,3,4,100,2,1,0,natural,1,1
4100,a,1,3,3,100,0,1,0,natural,1,1
2300,a,1,1,3,100,0,0,0,natural,1,1
1500,a,1,3,3,100,2,2,0,natural,1,1
300,a,3,0,0,100,2,1,0,natural,1,1
15000,a,2,3,3,100,0,1,0,natural,1,1
1700,a,3,0,0,25,0,0,0,natural,1,1
2500,a,3,0,0,75,0,0,0,natural,1,1
2400,a,2,0,1,100,1,1,0,natural,1,1
300,h,3,0,0,100,1,1,0,natural,1,1
2600,a,2,3,2,50,0,1,0,natural,1,1
600,a,4,0,0,50,0,0,0,natural,0,1
2000,a,3,0,0,50,0,0,0,natural,1,1
26000,a,1,3,4,100,1,2,0,natural,1,1
350,a,0,3,3,100,1,1,0,natural,1,1
200,a,3,0,0,50,1,1,1,concrete,1,1
2300,a,2,0,0,100,2,1,0,natural,1,1
300,j,1,0,0,100,1,1,2,natural,0,1
600,d,2,3,2,100,2,2,0,natural,1,1
300,h,3,0,0,100,1,2,0,natural,0,1
1400,a,1,0,0,100,5,5,0,natural,1,1
3000,a,3,0,0,100,5,2,0,natural,1,1
300,j,1,0,0,100,5,5,0,natural,0,1
2300,a,1,3,3,50,1,0,0,natural,1,1
2600,a,2,0,0,50,0,0,0,natural,1,1
300,i,1,0,0,100,2,0,0,natural,0,1
300,a,3,0,0,25,0,0,0,natural,1,1
22000,a,4,0,0,100,0,0,0,natural,1,1
300,h,3,0,0,100,2,0,0,natural,0,1
300,h,4,0,0,100,5,5,0,natural,0,1
1000,a,3,0,0,100,0,1,0,natural,1,1
300,j,1,0,0,100,0,1,0,natural,0,1
300,j,1,0,0,100,9,5,0,natural,0,1
1100,a,3,0,0,100,0,0,0,natural,0,1
1000,a,4,0,0,100,1,1,0,natural,1,0
300,i,2,0,0,75,0,2,0,natural,0,1
1000,i,2,0,0,75,1,2,0,natural,0,1
1100,d,0,3,3,100,5,1,0,concrete,0,0
2500,a,4,0,0,100,5,1,0,natural,1,1
4000,a,1,3,2,80,1,1,0,natural,1,1
200,h,3,0,0,100,1,2,0,natural,0,1
350,a,0,1,3,100,1,1,0,natural,1,1
4000,h,4,0,0,100,1,1,0,natural,0,1
300,i,2,0,0,100,5,5,0,natural,1,1
500,a,4,0,0,100,5,5,0,natural,1,1
300,h,3,0,0,100,1,1,0,natural,0,1
